feature,importance
roll_mean_24h,99151040.68373108
hour_of_day,58450484.42100525
line_name,21943992.03756714
roll_std_24h,19256814.65194702
day_of_week,9108545.09085083
lag_168h,2669315.8991088867
lag_24h,2057654.2053985596
lag_48h,891305.0072479248
is_holiday,876193.2181243896
is_weekend,763441.4984130859
temperature_2m,588942.0597686768
is_school_term,555681.0563964844
season,184970.5773010254
precipitation,149811.49421691895
wind_speed_10m,93369.93528747559
month,63586.70397949219
holiday_win_p1,41123.13703918457
holiday_win_m1,21797.410247802734
